t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613570931022,1.1875,3.4375,0.3125,-0.46,-0.52,10.26,-69.375,69.0625,-48.375,-0.00444444,-0.0466667,0.0122222
1613570931129,1.1875,3.4375,0.3125,-1.17,1.32,11.4,-69.0625,68.6875,-47.375,0.00444444,-0.0255556,0.00555556
1613570931232,1.1875,3.4375,0.3125,-2.78,0.75,18.54,-69.0625,67.875,-46.5625,0.00222222,0.0177778,-0.0111111
1613570931339,1.1875,3.5,0.3125,2.23,-0.41,2.82,-68.75,68.25,-47.6875,0.00111111,-0.00222222,-0.00777778
1613570931442,1.1875,3.5,0.3125,-0.39,0.88,9.08,-69.0625,68.25,-47,-0.01,-0.02,0.0122222
1613570931550,1.1875,3.5,0.3125,1.71,0.2,2.69,-69.375,68.6875,-47.375,0.00777778,-0.0122222,-0.00444444
1613570931653,1.1875,3.5,0.3125,-1.42,1.1,13.05,-69.75,69.0625,-47,0.0122222,0.0233333,-0.01
1613570931761,1.1875,3.5625,0.3125,1.46,-0.95,3.91,-68.75,68.6875,-46.1875,0,0.00111111,0
1613570931864,1.1875,3.625,0.3125,2.07,-0.25,1.19,-69.75,68.6875,-47.6875,-0.00777778,-0.0155556,0.0111111
1613570931967,1.25,3.625,0.3125,2.39,-0.81,1.26,-70.1875,68.6875,-48.0625,0.00777778,-0.0222222,0.00333333
1613570932072,1.25,3.625,0.375,-2.98,0.94,20.13,-68.375,68.6875,-48.0625,0.00777778,0.0177778,-0.01
1613570932175,1.25,3.6875,0.375,-1.93,-0.08,14.81,-69.375,69.6875,-46.5625,0.00222222,0.00666667,-0.00444444
1613570932278,1.25,3.6875,0.375,0.43,0.55,6.71,-69.375,69.375,-48.0625,-0.01,-0.0411111,0.0111111
1613570932384,1.25,3.6875,0.375,1.58,0.08,3.85,-68.6875,69.6875,-47.375,0.00333333,-0.0111111,0.00555556
1613570932489,1.25,3.6875,0.375,-1.09,0.88,11.18,-69.375,69.0625,-46.5625,0.00555556,0.0422222,-0.0155556
