t,ex,ey,ez
1613570885860,79.27,0.2,-0.03
1613570885860,79.27,0.2,-0.03
1613570885860,79.27,0.2,-0.03
1613570885860,79.27,0.2,-0.03
1613570885860,79.27,0.2,-0.03
1613570885861,79.27,0.2,-0.03
1613570885861,79.27,0.2,-0.03
1613570885861,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.27,0.2,-0.03
1613570885862,79.28,0.51,-0.18
1613570885899,79.28,0.51,-0.18
1613570885899,79.28,0.51,-0.18
1613570885899,79.28,0.51,-0.18
1613570885899,79.28,0.51,-0.18
1613570885899,79.28,0.51,-0.18
1613570885899,79.28,0.51,-0.18
1613570885900,79.28,0.51,-0.18
1613570885900,79.28,0.51,-0.18
1613570885900,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.28,0.51,-0.18
1613570885901,79.29,0.64,-0.48
1613570885939,79.29,0.64,-0.48
1613570885939,79.29,0.64,-0.48
1613570885939,79.29,0.64,-0.48
1613570885939,79.29,0.64,-0.48
1613570885939,79.29,0.64,-0.48
1613570885939,79.29,0.64,-0.48
1613570885940,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.29,0.64,-0.48
1613570885941,79.31,0.22,-0.08
1613570885979,79.31,0.22,-0.08
1613570885979,79.31,0.22,-0.08
1613570885980,79.31,0.22,-0.08
1613570885980,79.31,0.22,-0.08
1613570885980,79.31,0.22,-0.08
1613570885980,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.31,0.22,-0.08
1613570885981,79.33,0.59,-0.15
1613570886020,79.33,0.59,-0.15
1613570886020,79.33,0.59,-0.15
1613570886020,79.33,0.59,-0.15
1613570886020,79.33,0.59,-0.15
1613570886020,79.33,0.59,-0.15
1613570886020,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886021,79.33,0.59,-0.15
1613570886022,79.33,0.59,-0.15
1613570886022,79.34,0.26,-0.39
1613570886060,79.34,0.26,-0.39
1613570886060,79.34,0.26,-0.39
1613570886060,79.34,0.26,-0.39
1613570886060,79.34,0.26,-0.39
1613570886060,79.34,0.26,-0.39
1613570886060,79.34,0.26,-0.39
1613570886061,79.34,0.26,-0.39
1613570886061,79.34,0.26,-0.39
1613570886061,79.34,0.26,-0.39
1613570886061,79.34,0.26,-0.39
1613570886061,79.34,0.26,-0.39
1613570886061,79.34,0.26,-0.39
1613570886062,79.34,0.26,-0.39
1613570886062,79.34,0.26,-0.39
1613570886062,79.34,0.26,-0.39
1613570886062,79.34,0.26,-0.39
1613570886062,79.36,0,0.14
1613570886099,79.36,0,0.14
1613570886099,79.36,0,0.14
1613570886099,79.36,0,0.14
1613570886099,79.36,0,0.14
1613570886099,79.36,0,0.14
1613570886099,79.36,0,0.14
1613570886100,79.36,0,0.14
1613570886100,79.36,0,0.14
1613570886100,79.36,0,0.14
1613570886100,79.36,0,0.14
1613570886100,79.36,0,0.14
1613570886101,79.36,0,0.14
1613570886101,79.36,0,0.14
1613570886101,79.36,0,0.14
1613570886101,79.36,0,0.14
1613570886101,79.36,0,0.14
1613570886101,79.36,0,0.14
1613570886101,79.38,0.32,-0.02
1613570886139,79.38,0.32,-0.02
1613570886139,79.38,0.32,-0.02
1613570886139,79.38,0.32,-0.02
1613570886139,79.38,0.32,-0.02
1613570886139,79.38,0.32,-0.02
1613570886139,79.38,0.32,-0.02
1613570886140,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.38,0.32,-0.02
1613570886141,79.4,0.5,-0.3
1613570886179,79.4,0.5,-0.3
1613570886179,79.4,0.5,-0.3
1613570886180,79.4,0.5,-0.3
1613570886180,79.4,0.5,-0.3
1613570886180,79.4,0.5,-0.3
1613570886180,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.4,0.5,-0.3
1613570886181,79.42,0.31,0.26
1613570886220,79.42,0.31,0.26
1613570886220,79.42,0.31,0.26
1613570886220,79.42,0.31,0.26
1613570886220,79.42,0.31,0.26
1613570886220,79.42,0.31,0.26
1613570886220,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886221,79.42,0.31,0.26
1613570886222,79.43,0.56,0.03
1613570886260,79.43,0.56,0.03
1613570886260,79.43,0.56,0.03
1613570886260,79.43,0.56,0.03
1613570886260,79.43,0.56,0.03
1613570886260,79.43,0.56,0.03
1613570886260,79.43,0.56,0.03
1613570886261,79.43,0.56,0.03
1613570886261,79.43,0.56,0.03
1613570886261,79.43,0.56,0.03
1613570886261,79.43,0.56,0.03
1613570886261,79.43,0.56,0.03
1613570886262,79.43,0.56,0.03
1613570886262,79.43,0.56,0.03
1613570886262,79.43,0.56,0.03
1613570886262,79.43,0.56,0.03
1613570886262,79.43,0.56,0.03
1613570886262,79.43,0.56,0.03
1613570886262,79.45,0.21,-0.19
1613570886299,79.45,0.21,-0.19
1613570886299,79.45,0.21,-0.19
1613570886299,79.45,0.21,-0.19
1613570886299,79.45,0.21,-0.19
1613570886299,79.45,0.21,-0.19
1613570886299,79.45,0.21,-0.19
1613570886300,79.45,0.21,-0.19
1613570886300,79.45,0.21,-0.19
1613570886300,79.45,0.21,-0.19
1613570886300,79.45,0.21,-0.19
1613570886300,79.45,0.21,-0.19
1613570886300,79.45,0.21,-0.19
1613570886301,79.45,0.21,-0.19
1613570886301,79.45,0.21,-0.19
1613570886301,79.45,0.21,-0.19
1613570886301,79.45,0.21,-0.19
1613570886301,79.45,0.21,-0.19
1613570886301,79.46,-0.1,0.31
1613570886339,79.46,-0.1,0.31
1613570886339,79.46,-0.1,0.31
1613570886339,79.46,-0.1,0.31
1613570886339,79.46,-0.1,0.31
